Rk,Player,Pos,Tm,FG%,3P,FT%,TRB,AST,STL,BLK,TOV,PTS
1,Bradley Beal\bealbr01,SG,WAS,.485,2.2,.902,5.0,4.8,1.2,0.4,3.3,31.3
2,Joel Embiid\embiijo01,C,PHI,.525,1.2,.859,11.5,3.3,1.2,1.4,3.2,29.9
3,Damian Lillard\lillada01,PG,POR,.446,4.2,.944,4.3,7.8,0.9,0.3,3.2,29.8
4,Stephen Curry\curryst01,PG,GSW,.475,4.7,.927,5.3,6.2,1.4,0.1,3.0,29.1
5,Kevin Durant\duranke01,PF,BRK,.524,2.6,.869,7.3,5.3,0.7,1.4,3.5,29.0
6,Luka Dončić\doncilu01,PG,DAL,.483,3.0,.748,8.1,9.0,1.0,0.6,4.2,28.5
7,Giannis Antetokounmpo\antetgi01,PF,MIL,.556,1.2,.679,11.4,6.3,1.2,1.3,3.6,28.4
8,Kyrie Irving\irvinky01,PG,BRK,.520,2.8,.893,4.9,5.6,1.3,0.6,2.3,28.1
9,Zach LaVine\lavinza01,SG,CHI,.513,3.4,.866,5.0,4.8,0.9,0.4,3.8,27.5
10,Nikola Jokić\jokicni01,C,DEN,.571,1.5,.868,11.1,8.5,1.6,0.7,3.0,26.9
11,Zion Williamson\willizi01,PF,NOP,.624,0.2,.708,7.1,3.5,0.9,0.7,2.6,26.4
12,James Harden\hardeja01,PG-SG,BKN,.463,2.9,.867,8.2,11.2,1.3,0.7,4.3,26.1
13,Kawhi Leonard\leonaka01,SF,LAC,.515,1.9,.871,6.3,4.9,1.8,0.5,1.9,25.9
14,Donovan Mitchell\mitchdo01,SG,UTA,.439,3.4,.841,4.5,5.5,1.0,0.3,3.0,25.7
15,Trae Young\youngtr01,PG,ATL,.434,2.4,.875,4.0,9.4,0.8,0.3,4.3,25.6
16,LeBron James\jamesle01,PG,LAL,.513,2.4,.703,7.9,7.9,1.0,0.6,3.7,25.4
17,Jayson Tatum\tatumja01,SF,BOS,.451,2.8,.861,6.8,4.4,1.3,0.5,2.4,25.3
18,Devin Booker\bookede01,SG,PHO,.490,2.0,.845,4.1,4.6,0.9,0.2,3.3,25.1
19,De'Aaron Fox\foxde01,PG,SAC,.486,1.8,.704,3.4,7.2,1.4,0.5,3.1,24.8
20,Jaylen Brown\brownja02,SG,BOS,.484,2.6,.762,5.6,3.7,1.2,0.5,2.8,24.5
21,Nikola Vučević\vucevni01,C,CHI,.485,2.6,.833,11.6,3.8,0.9,0.6,1.8,24.4
22,CJ McCollum\mccolcj01,SG,POR,.441,4.2,.877,3.9,4.7,1.0,0.5,1.3,24.2
23,Karl-Anthony Towns\townska01,C,MIN,.496,2.4,.862,10.5,4.3,0.8,1.6,3.3,24.1
24,Collin Sexton\sextoco01,SG,CLE,.476,1.7,.803,2.9,4.2,1.2,0.1,2.7,23.9
25,Brandon Ingram\ingrabr01,SF,NOP,.475,2.4,.876,4.9,4.7,0.6,0.7,2.4,23.8
26,Shai Gilgeous-Alexander\gilgesh01,SG,OKC,.508,2.0,.808,4.7,5.9,0.8,0.7,3.0,23.7
27,Julius Randle\randlju01,PF,NYK,.468,2.0,.787,10.8,5.8,0.9,0.2,3.3,23.0
28,Alize Johnson\johnsal02,F,BRK,.733,0.0,1.000,15.0,3.0,2.0,0.0,1.0,23.0
29,Jerami Grant\grantje01,SF,DET,.424,2.3,.868,4.9,2.8,0.7,1.1,2.0,22.6
30,Paul George\georgpa01,SF,LAC,.473,3.2,.882,6.3,5.5,1.1,0.5,3.2,22.5
31,Anthony Davis\davisan02,PF,LAL,.533,0.7,.715,8.4,3.0,1.3,1.8,2.0,22.5
32,Russell Westbrook\westbru01,PG,WAS,.435,1.3,.615,10.1,10.5,1.3,0.4,4.9,21.8
33,Malcolm Brogdon\brogdma01,PG,IND,.462,2.7,.870,4.7,6.0,1.0,0.2,2.2,21.5
34,Jimmy Butler\butleji01,SF,MIA,.485,0.4,.850,7.7,7.3,1.9,0.4,2.3,21.5
35,Christian Wood\woodch01,C,HOU,.551,1.7,.670,9.8,1.3,0.8,1.4,1.8,21.5
36,Jamal Murray\murraja01,PG,DEN,.481,2.7,.856,3.9,4.9,1.3,0.3,2.3,21.0
37,Tobias Harris\harrito02,PF,PHI,.518,1.5,.897,7.6,3.7,0.9,0.8,1.9,20.9
38,Victor Oladipo\oladivi01,SG,MIA,.411,2.6,.767,5.0,4.7,1.3,0.4,2.4,20.8
39,Terry Rozier\roziete01,SG,CHA,.476,3.3,.844,3.9,3.4,1.3,0.3,1.9,20.5
40,DeMar DeRozan\derozde01,PF,SAS,.489,0.5,.882,4.4,7.2,1.0,0.3,1.8,20.4
41,Khris Middleton\middlkh01,SF,MIL,.492,2.2,.878,6.0,5.4,1.1,0.2,2.8,20.4
42,Domantas Sabonis\sabondo01,PF,IND,.526,0.8,.721,11.3,6.1,1.2,0.6,3.4,20.4
43,Kristaps Porziņģis\porzikr01,C,DAL,.481,2.3,.839,8.9,1.6,0.4,1.6,1.3,20.4
44,John Wall\walljo01,PG,HOU,.400,1.9,.746,3.4,6.8,1.0,0.8,3.4,20.2
45,Pascal Siakam\siakapa01,PF,TOR,.448,1.2,.826,7.4,4.7,1.1,0.7,2.1,20.1
46,Fred VanVleet\vanvlfr01,SG,TOR,.395,3.4,.886,4.3,6.2,1.7,0.7,2.0,20.1
47,Malik Beasley\beaslma01,SG,MIN,.444,3.5,.851,4.5,2.5,0.8,0.2,1.7,20.0
48,Gordon Hayward\haywago01,SF,CHA,.473,2.0,.848,5.7,4.1,1.2,0.3,2.1,19.8
49,Norman Powell\powelno01,SG,POR,.499,2.8,.847,3.0,1.8,1.1,0.2,1.9,19.5
50,Bam Adebayo\adebaba01,C,MIA,.565,0.0,.836,9.6,5.3,0.9,1.2,2.7,19.4
51,D'Angelo Russell\russeda01,PG,MIN,.426,3.0,.750,2.6,5.1,1.1,0.5,2.7,19.3
52,Ja Morant\moranja01,PG,MEM,.438,0.8,.762,3.4,7.5,0.9,0.2,2.9,19.1
53,Evan Fournier\fournev01,SF,BOS,.449,2.7,.797,2.9,3.5,1.1,0.4,2.0,18.9
54,John Collins\collijo01,PF,ATL,.544,1.3,.837,7.8,1.3,0.5,1.1,1.2,18.4
55,Andrew Wiggins\wiggian01,PF,GSW,.474,2.0,.705,4.7,2.2,0.9,0.9,1.9,18.2
56,Kemba Walker\walkeke02,PG,BOS,.396,2.9,.933,3.5,4.6,1.2,0.3,2.2,18.2
57,Eric Gordon\gordoer01,SG,HOU,.433,2.6,.825,2.1,2.6,0.5,0.5,1.9,17.8
58,Andre Drummond\drumman01,C,CLE,.474,0.0,.597,13.5,2.6,1.6,1.2,3.2,17.5
59,RJ Barrett\barrerj01,SG,NYK,.443,1.2,.731,6.1,3.1,0.7,0.2,2.0,17.4
60,Jordan Clarkson\clarkjo01,SG,UTA,.421,3.0,.949,4.0,2.2,0.8,0.2,1.7,17.2
61,Anthony Edwards\edwaran01,SG,MIN,.386,2.1,.772,4.4,2.5,1.0,0.4,2.0,17.2
62,Lauri Markkanen\markkla01,PF,CHI,.481,2.7,.839,5.8,0.9,0.5,0.4,1.3,17.2
63,Kyle Lowry\lowryky01,PG,TOR,.436,2.7,.881,5.4,7.3,1.0,0.3,2.8,17.0
64,Caris LeVert\leverca01,SG,IND,.410,1.9,.800,4.4,5.1,1.2,0.3,1.8,17.0
65,Tim Hardaway Jr.\hardati02,SG,DAL,.453,3.0,.785,3.4,1.8,0.5,0.1,0.9,16.8
66,Buddy Hield\hieldbu01,SG,SAC,.399,4.0,.851,4.6,3.2,0.8,0.3,1.7,16.7
67,Darius Garland\garlada01,PG,CLE,.440,1.8,.835,2.3,5.7,1.1,0.1,3.0,16.6
68,Michael Porter Jr.\portemi01,SF,DEN,.527,2.4,.746,7.4,0.9,0.7,0.9,1.1,16.3
69,Dillon Brooks\brookdi01,SF,MEM,.398,1.8,.852,3.0,2.5,1.3,0.4,1.9,16.1
70,Mike Conley\conlemi01,PG,UTA,.450,2.7,.840,3.5,5.5,1.3,0.1,1.9,16.1
71,Jrue Holiday\holidjr01,PG,MIL,.493,1.8,.821,4.4,5.1,1.8,0.5,1.9,16.1
72,Jonas Valančiūnas\valanjo01,C,MEM,.557,0.3,.755,12.5,1.7,0.6,0.7,1.9,16.1
73,Chris Paul\paulch01,PG,PHO,.481,1.4,.941,4.7,8.5,1.4,0.3,2.3,16.0
74,Terrence Ross\rosste01,SG,ORL,.414,2.3,.894,3.5,2.3,1.1,0.5,1.7,16.0
75,De'Andre Hunter\huntede01,SF,ATL,.502,1.6,.867,5.1,2.1,0.9,0.5,1.4,16.0
76,LaMelo Ball\ballla01,PG,CHA,.451,2.0,.789,5.9,6.1,1.6,0.3,2.8,15.9
77,Ben Simmons\simmobe01,PG,PHI,.557,0.1,.644,7.9,7.5,1.5,0.7,3.7,15.9
78,Harrison Barnes\barneha02,PF,SAC,.488,1.5,.826,6.5,3.6,0.7,0.2,1.5,15.7
79,Dejounte Murray\murrade01,PG,SAS,.456,0.9,.814,7.0,5.3,1.4,0.1,1.7,15.7
80,Tyler Herro\herroty01,SG,MIA,.414,1.9,.835,5.3,3.6,0.7,0.4,2.2,15.5
81,T.J. Warren\warretj01,SF,IND,.529,0.0,.800,3.5,1.3,0.5,0.0,1.0,15.5
82,Dennis Schröder\schrode01,SG,LAL,.436,1.0,.839,3.5,4.9,1.2,0.2,2.7,15.4
83,Kevin Porter Jr.\porteke02,SG,HOU,.431,1.3,.652,2.9,5.8,1.0,0.6,3.0,15.4
84,Montrezl Harrell\harremo01,C,LAL,.638,0.0,.697,6.8,1.1,0.7,0.8,1.1,15.2
85,Kelly Oubre Jr.\oubreke01,SF,GSW,.437,1.6,.693,6.0,1.4,1.0,0.8,1.2,15.2
86,Coby White\whiteco01,PG,CHI,.409,2.3,.895,4.6,4.6,0.5,0.2,2.3,15.0
87,Deandre Ayton\aytonde01,C,PHO,.610,0.1,.767,11.0,1.5,0.4,1.1,1.6,14.8
88,Rudy Gobert\goberru01,C,UTA,.650,0.0,.616,13.4,1.2,0.5,3.0,1.6,14.7
89,OG Anunoby\anunoog01,SF,TOR,.484,2.3,.754,5.9,1.8,1.7,0.8,1.8,14.7
90,Clint Capela\capelca01,C,ATL,.586,0.0,.550,14.1,0.9,0.8,2.2,1.3,14.6
91,Gary Trent Jr.\trentga02,SG,TOR,.409,2.8,.766,2.3,1.4,0.9,0.1,0.7,14.6
92,Bojan Bogdanović\bogdabo02,SF,UTA,.412,2.4,.871,3.8,1.9,0.5,0.0,1.5,14.5
93,Aaron Gordon\gordoaa01,PF,DEN,.444,1.7,.629,6.5,4.1,0.7,0.8,2.6,14.5
94,Richaun Holmes\holmeri01,C,SAC,.647,0.0,.807,9.0,1.8,0.7,1.7,1.2,14.4
95,Thomas Bryant\bryanth01,C,WAS,.648,0.9,.667,6.1,1.5,0.4,0.8,1.1,14.3
96,Lonzo Ball\balllo01,PG,NOP,.425,3.0,.767,4.2,5.6,1.3,0.6,2.0,14.2
97,Al Horford\horfoal01,C,OKC,.450,2.0,.818,6.7,3.4,0.9,0.9,1.0,14.2
98,Joe Harris\harrijo01,SF,BRK,.510,3.2,.721,3.4,1.7,0.6,0.2,0.8,14.1
99,Carmelo Anthony\anthoca01,PF,POR,.417,1.8,.863,3.3,1.7,0.8,0.7,1.0,13.9
100,Marvin Bagley III\baglema01,PF,SAC,.502,0.9,.560,7.4,0.9,0.5,0.5,1.3,13.9
101,Devonte' Graham\grahade01,PG,CHA,.376,3.1,.811,2.6,5.1,0.9,0.1,1.5,13.9
102,Rui Hachimura\hachiru01,PF,WAS,.481,0.9,.769,6.0,1.6,0.8,0.1,1.2,13.9
103,Shake Milton\miltosh01,SG,PHI,.447,1.0,.856,2.3,3.0,0.6,0.3,1.7,13.8
104,LaMarcus Aldridge\aldrila01,C,SAS,.464,1.3,.838,4.5,1.7,0.4,0.9,1.0,13.7
105,Derrick Rose\rosede01,PG,NYK,.430,1.0,.842,2.1,4.3,1.1,0.4,1.9,13.6
106,Kendrick Nunn\nunnke01,PG,MIA,.457,2.0,.907,3.1,2.6,1.0,0.2,1.5,13.5
107,Goran Dragić\dragigo01,PG,MIA,.439,1.6,.844,3.3,4.8,0.6,0.2,2.7,13.5
108,Chris Boucher\bouchch01,C,TOR,.530,1.5,.767,6.3,0.9,0.5,1.9,0.7,13.4
109,Mikal Bridges\bridgmi01,SF,PHO,.527,1.8,.835,4.9,2.4,0.9,0.9,0.9,13.4
110,Doug McDermott\mcderdo01,PF,IND,.516,1.7,.831,3.8,1.4,0.3,0.1,0.9,13.4
111,Keldon Johnson\johnske04,SF,SAS,.471,0.9,.770,6.4,1.9,0.6,0.5,1.1,13.3
112,Tyrese Haliburton\halibty01,PG,SAC,.487,2.2,.868,3.3,5.0,1.3,0.6,1.5,13.2
113,Malik Monk\monkma01,SG,CHA,.463,2.2,.815,2.6,1.8,0.5,0.1,1.5,13.2
114,Derrick White\whitede01,SG,SAS,.395,2.1,.868,2.6,3.3,0.7,1.1,1.4,13.2
115,Jarrett Allen\allenja01,C,CLE,.633,0.1,.704,9.9,1.7,0.5,1.7,1.5,13.1
116,Alec Burks\burksal01,SG,NYK,.423,2.0,.856,4.5,2.2,0.8,0.3,1.0,13.0
117,Marcus Smart\smartma01,PG,BOS,.399,1.9,.781,3.0,5.3,1.5,0.5,1.7,13.0
118,Seth Curry\curryse01,SG,PHI,.464,2.0,.921,2.2,2.9,0.9,0.2,1.4,12.9
119,Josh Jackson\jacksjo02,SG,DET,.418,1.1,.721,4.1,2.1,0.9,0.8,2.2,12.9
120,Markelle Fultz\fultzma01,PG,ORL,.394,0.5,.895,3.1,5.4,1.0,0.3,2.3,12.9
121,Danilo Gallinari\gallida01,PF,ATL,.423,2.1,.935,3.7,1.5,0.6,0.2,1.0,12.8
122,Patty Mills\millspa02,PG,SAS,.438,2.7,.911,1.7,2.5,0.7,0.0,1.0,12.8
123,Immanuel Quickley\quickim01,PG,NYK,.391,2.0,.888,2.3,2.3,0.5,0.2,1.0,12.8
124,Josh Richardson\richajo01,SG,DAL,.435,1.6,.926,3.5,2.8,0.9,0.4,1.5,12.8
125,Marcus Morris\morrima03,PF,LAC,.451,2.4,.849,3.8,1.1,0.5,0.3,0.8,12.7
126,Duncan Robinson\robindu01,SF,MIA,.425,3.3,.836,3.7,1.7,0.6,0.2,1.2,12.7
127,Myles Turner\turnemy01,C,IND,.477,1.5,.786,6.4,1.0,0.9,3.5,1.4,12.7
128,Luguentz Dort\dortlu01,SG,OKC,.386,2.0,.764,3.4,1.6,0.9,0.4,1.4,12.6
129,Will Barton\bartowi01,SF,DEN,.433,1.7,.737,4.1,3.0,0.9,0.5,1.7,12.5
130,Jalen Brunson\brunsja01,PG,DAL,.529,1.2,.794,3.5,3.3,0.5,0.0,1.4,12.5
131,Kyle Anderson\anderky01,PF,MEM,.478,1.3,.757,5.6,3.4,1.2,0.7,1.4,12.4
132,Kyle Kuzma\kuzmaky01,SF,LAL,.438,2.0,.636,6.8,1.6,0.5,0.5,1.7,12.4
133,Enes Kanter\kanteen01,C,POR,.605,0.0,.781,11.7,1.2,0.5,0.7,1.2,12.2
134,Lou Williams\willilo02,PG,LAC,.421,1.1,.866,2.1,3.4,0.9,0.1,1.6,12.1
135,Joe Ingles\inglejo01,SF,UTA,.536,2.7,.868,3.7,4.3,0.6,0.2,1.5,12.0
136,Elfrid Payton\paytoel01,PG,NYK,.438,0.4,.714,3.7,3.5,0.7,0.2,1.8,12.0
137,Thaddeus Young\youngth01,PF,CHI,.593,0.1,.537,6.4,4.4,1.3,0.6,2.1,12.0
138,Darius Bazley\bazleda01,PF,OKC,.392,1.5,.704,7.5,1.5,0.5,0.6,1.8,11.9
139,Hamidou Diallo\diallha01,SG,OKC,.486,0.4,.645,5.2,2.4,0.9,0.4,1.5,11.9
140,P.J. Washington\washipj01,PF,CHA,.441,1.4,.776,6.7,2.8,1.0,1.3,2.2,11.9
141,George Hill\hillge01,PG,OKC,.508,1.6,.840,2.1,3.1,0.9,0.1,0.9,11.8
142,James Wiseman\wisemja01,C,GSW,.522,0.3,.630,5.9,0.6,0.3,1.0,1.5,11.8
143,Brandon Clarke\clarkbr01,PF,MEM,.525,0.5,.675,5.6,1.7,1.1,0.8,0.6,11.6
144,Kevin Huerter\huertke01,SG,ATL,.415,2.1,.841,3.5,3.5,1.2,0.2,1.3,11.6
145,Justin Holiday\holidju01,SG,IND,.430,2.6,.790,3.8,1.7,1.2,0.4,0.9,11.5
146,Lonnie Walker\walkelo01,SG,SAS,.425,1.7,.783,2.8,1.6,0.5,0.4,1.0,11.5
147,Blake Griffin\griffbl01,PF,BKN,.383,1.8,.699,5.0,3.5,0.7,0.1,1.5,11.5
148,Eric Bledsoe\bledser01,SG,NOP,.419,1.8,.657,3.4,3.8,0.7,0.3,1.5,11.4
149,Brook Lopez\lopezbr01,C,MIL,.468,1.5,.837,5.1,0.7,0.7,1.4,1.0,11.3
150,Cam Reddish\reddica01,SF,ATL,.365,1.3,.817,4.0,1.3,1.3,0.3,1.3,11.2
151,Bobby Portis\portibo01,C,MIL,.538,1.1,.737,6.8,1.1,0.8,0.4,0.8,11.0
152,Naz Reid\reidna01,C,MIN,.522,0.8,.698,4.5,1.2,0.6,1.1,1.1,11.0
153,Cole Anthony\anthoco01,PG,ORL,.375,1.1,.836,4.4,3.8,0.7,0.4,2.0,11.0
154,Jordan Poole\poolejo01,SG,GSW,.471,1.7,.922,1.6,1.7,0.3,0.1,0.8,11.0
155,Saddiq Bey\beysa01,SF,DET,.411,2.3,.873,4.1,1.3,0.6,0.1,0.7,10.9
156,Serge Ibaka\ibakase01,C,LAC,.507,1.0,.822,6.7,1.7,0.2,1.2,1.1,10.9
157,Dāvis Bertāns\bertada01,PF,WAS,.389,2.8,.853,2.9,0.9,0.6,0.2,0.6,10.8
158,Wendell Carter Jr.\cartewe01,C,ORL,.514,0.2,.729,7.8,2.1,0.6,0.7,1.5,10.8
159,Rudy Gay\gayru01,PF,SAS,.409,1.6,.780,4.9,1.5,0.8,0.6,1.1,10.8
160,Donte DiVincenzo\divindo01,SG,MIL,.421,2.0,.674,5.4,3.0,1.1,0.2,1.4,10.6
161,Wayne Ellington\ellinwa01,SG,DET,.452,2.7,.774,1.8,1.4,0.4,0.2,0.7,10.6
162,Jae'Sean Tate\tateja01,SF,HOU,.520,0.8,.716,5.5,1.8,1.1,0.6,1.1,10.6
163,Kelly Olynyk\olynyke01,C,HOU,.441,1.8,.809,6.1,2.2,1.0,0.6,1.3,10.5
164,Dwayne Bacon\bacondw01,SG,ORL,.401,1.0,.845,3.0,1.2,0.5,0.1,0.7,10.4
165,Monte Morris\morrimo01,PG,DEN,.471,1.1,.762,2.2,3.4,0.7,0.3,0.7,10.4
166,Jeremy Lamb\lambje01,SG,IND,.444,1.5,.951,3.5,1.6,0.8,0.5,0.6,10.4
167,Mason Plumlee\plumlma01,C,DET,.601,0.0,.653,9.5,3.6,0.9,0.9,2.0,10.3
