Rk,Player,Pos,Tm,FG%,3P,FT%,TRB,AST,STL,BLK,TOV,PTS
336,Facundo Campazzo\campafa01,PG,DEN,.377,1.0,.805,1.4,2.8,1.0,0.2,0.9,4.9
337,Langston Galloway\gallola01,SG,PHO,.479,1.0,1.000,1.0,0.7,0.2,0.0,0.3,4.9
338,Rodney Hood\hoodro01,SF,TOR,.370,0.7,.824,1.9,1.1,0.5,0.1,0.8,4.9
339,Grant Williams\willigr01,PF,BOS,.455,0.8,.528,3.2,1.0,0.6,0.4,0.9,4.9
340,Marc Gasol\gasolma01,C,LAL,.404,0.9,.786,3.9,2.0,0.5,1.2,0.9,4.8
341,Josh Okogie\okogijo01,SG,MIN,.350,0.4,.814,2.6,1.2,0.9,0.4,0.7,4.8
342,DeAndre' Bembry\bembrde01,SF,TOR,.534,0.3,.680,2.4,1.9,0.7,0.3,1.0,4.8
343,Patrick Patterson\pattepa01,PF,LAC,.493,1.0,.667,1.7,0.6,0.5,0.1,0.4,4.7
344,Jerome Robinson\robinje01,SG,WAS,.295,0.6,.800,2.3,1.4,0.7,0.3,1.1,4.7
345,Dwight Powell\poweldw01,C,DAL,.489,0.1,.773,3.4,0.8,0.5,0.3,0.6,4.6
346,Brad Wanamaker\wanambr01,PG,CHA,.353,0.3,.893,1.7,2.5,0.7,0.2,1.0,4.6
347,Drew Eubanks\eubandr01,C,SAS,.505,0.0,.700,3.4,0.9,0.2,1.0,0.8,4.6
348,Taj Gibson\gibsota01,PF,NYK,.554,0.2,.607,4.9,0.7,0.5,0.7,0.6,4.6
349,Killian Hayes\hayeski01,PG,DET,.277,0.7,.500,1.1,3.6,0.3,0.0,2.4,4.6
350,Kevin Knox\knoxke01,SF,NYK,.392,1.0,.813,1.7,0.5,0.3,0.2,0.5,4.6
351,Boban Marjanović\marjabo01,C,DAL,.489,0.0,.722,4.0,0.3,0.0,0.1,0.4,4.6
352,Andre Iguodala\iguodan01,SF,MIA,.379,1.0,.613,3.8,2.1,1.0,0.5,1.0,4.5
353,Wesley Matthews\matthwe02,SG,LAL,.358,1.1,.857,1.6,1.0,0.5,0.3,0.5,4.5
354,Dean Wade\wadede01,PF,CLE,.434,0.9,.750,2.6,0.9,0.3,0.3,0.4,4.5
355,Troy Brown Jr.\browntr01,SF,CHI,.392,0.7,.667,2.7,1.0,0.3,0.2,0.7,4.5
356,Lamar Stevens\stevela01,PF,CLE,.444,0.1,.705,2.7,0.8,0.5,0.4,0.6,4.5
357,Rayjon Tucker\tuckera01,F,PHI,1.000,0.5,1.000,0.5,0.5,0.0,0.0,0.0,4.5
358,D.J. Wilson\wilsodj01,PF,MIN,.413,0.9,.750,2.6,0.4,0.1,0.5,0.6,4.5
359,E'Twaun Moore\mooreet01,SG,PHO,.422,0.3,.800,1.8,1.5,0.6,0.2,0.8,4.3
360,Jahlil Okafor\okafoja01,C,DET,.595,0.0,.500,2.3,0.3,0.2,0.2,0.3,4.3
361,Solomon Hill\hillso01,PF,ATL,.362,1.0,.857,2.2,0.8,0.7,0.2,0.6,4.2
362,Goga Bitadze\bitadgo01,C,IND,.494,0.2,.692,2.4,0.3,0.2,1.1,0.4,4.2
363,Jalen McDaniels\mcdanja01,SF,CHA,.440,0.4,.714,2.2,0.5,0.1,0.2,0.8,4.2
364,Obi Toppin\toppiob01,PF,NYK,.473,0.4,.706,2.2,0.5,0.3,0.3,0.5,4.1
365,P.J. Tucker\tuckepj01,PF,MIL,.363,0.8,.783,4.4,1.3,0.8,0.6,0.9,4.1
366,Chimezie Metu\metuch01,C,SAC,.565,0.2,.700,2.3,0.5,0.2,0.6,0.6,4.1
367,Frank Ntilikina\ntilila01,PG,NYK,.359,1.0,.500,1.4,0.8,0.8,0.1,0.6,4.1
368,Reggie Perry\perryre01,PF,BRK,.417,0.3,.727,3.9,0.9,0.3,0.3,0.8,4.1
369,Cody Martin\martico01,SF,CHA,.491,0.3,.667,2.6,1.4,0.5,0.2,0.6,4.0
370,Jordan Bone\bonejo01,PG,ORL,.426,0.7,,1.7,1.3,0.1,0.0,0.2,4.0
371,Javonte Green\greenja02,SG,CHI,.526,0.3,.667,2.1,0.4,0.7,0.1,0.6,4.0
372,Isaiah Joe\joeis01,SG,PHI,.360,1.0,1.000,1.1,0.7,0.3,0.2,0.2,4.0
373,John Konchar\konchjo01,SG,MEM,.437,0.4,.850,3.3,1.1,0.9,0.2,0.4,4.0
374,Brodric Thomas\thomabr01,SG,CLE,.302,0.4,.810,1.3,1.0,0.6,0.4,0.6,4.0
375,Kevon Looney\looneke01,C,GSW,.592,0.1,.741,4.1,1.8,0.4,0.4,0.6,3.9
376,Chris Chiozza\chiozch01,PG,BRK,.333,0.7,.769,1.0,2.9,0.4,0.3,0.7,3.9
377,Brandon Goodwin\goodwbr01,PG,ATL,.345,0.6,.708,1.0,1.5,0.4,0.0,0.6,3.9
378,Chandler Hutchison\hutchch01,SF,WAS,.448,0.4,1.000,3.1,0.5,0.1,0.0,1.0,3.9
379,Nathan Knight\knighna01,PF,ATL,.435,0.3,.893,2.0,0.2,0.2,0.3,0.6,3.9
380,Rajon Rondo\rondora01,PG,ATL,.400,0.6,.500,2.0,3.5,0.7,0.1,1.4,3.9
381,Mike Scott\scottmi01,PF,PHI,.356,1.0,.600,2.6,0.7,0.6,0.1,0.6,3.9
382,Mychal Mulder\muldemy01,PG,GSW,.419,1.0,.588,0.8,0.4,0.2,0.2,0.2,3.8
383,Dante Exum\exumda01,SG,CLE,.385,0.3,.500,2.8,2.2,0.7,0.3,1.2,3.8
384,Thon Maker\makerth01,C,CLE,.556,0.0,.909,2.3,0.5,0.3,0.5,0.4,3.8
385,Aaron Nesmith\nesmiaa01,SF,BOS,.376,0.8,.714,2.3,0.4,0.3,0.2,0.6,3.8
386,Zeke Nnaji\nnajize01,PF,DEN,.524,0.6,.800,1.7,0.2,0.1,0.1,0.2,3.8
387,Luka Šamanić\samanlu01,PF,SAS,.490,0.5,.529,2.2,0.2,0.2,0.2,0.6,3.8
388,Matisse Thybulle\thybuma01,SG,PHI,.407,0.7,.571,1.8,1.0,1.5,1.0,0.4,3.7
389,DaQuan Jeffries\jeffrda01,SG,SAC,.421,0.5,.857,1.6,0.3,0.4,0.2,0.4,3.7
390,Sean McDermott\mcderse01,SF,MEM,.429,0.5,1.000,1.5,0.4,0.2,0.2,0.4,3.7
391,Sekou Doumbouya\doumbse01,PF,DET,.340,0.4,.733,2.1,0.6,0.4,0.1,0.7,3.6
392,Torrey Craig\craigto01,SF,PHO,.444,0.6,.500,2.7,1.0,0.5,0.4,0.3,3.5
393,Isaiah Hartenstein\harteis01,C,CLE,.489,0.0,.579,3.2,0.7,0.4,0.7,0.7,3.5
394,Skylar Mays\mayssk01,SG,ATL,.390,0.5,.850,1.0,1.0,0.3,0.0,0.3,3.5
395,Gary Clark\clarkga01,SF,ORL,.305,0.9,.800,3.2,0.9,0.3,0.2,0.5,3.4
396,Darius Miller\milleda01,SF,OKC,.452,0.8,1.000,1.4,1.1,0.6,0.3,0.4,3.4
397,Thanasis Antetokounmpo\antetth01,SF,MIL,.566,0.2,.458,2.3,0.8,0.4,0.2,0.7,3.3
398,Ryan Arcidiacono\arcidry01,PG,CHI,.390,0.6,.750,1.6,1.3,0.3,0.0,0.3,3.3
399,Jordan Bell\belljo01,C,WAS,.333,0.0,,5.3,1.7,0.3,1.0,1.0,3.3
400,Quinn Cook\cookqu01,PG,CLE,.426,0.5,.875,0.7,0.8,0.2,0.0,0.3,3.3
401,Meyers Leonard\leoname01,C,MIA,.429,1.0,.500,2.3,0.7,0.0,0.0,0.7,3.3
402,Kyle Guy\guyky01,PG,SAC,.370,0.5,.800,1.1,1.0,0.2,0.0,0.2,3.1
403,Paul Reed\reedpa01,PF,PHI,.467,0.0,.000,1.9,0.3,0.2,0.6,0.7,3.1
404,Stanley Johnson\johnsst04,PF,TOR,.387,0.6,.778,2.1,1.1,0.7,0.3,0.7,3.0
405,Amir Coffey\coffeam01,SG,LAC,.485,0.6,.529,0.8,0.5,0.2,0.0,0.4,3.0
406,Harry Giles\gilesha01,C,POR,.406,0.1,.722,4.9,0.9,0.2,0.4,0.7,3.0
407,Damian Jones\jonesda03,C,LAL,.727,0.0,.739,2.0,0.2,0.1,0.5,0.5,3.0
408,Paul Watson\watsopa01,SF,TOR,.455,0.8,.500,1.5,0.5,0.2,0.1,0.3,3.0
409,Tacko Fall\fallta01,C,BOS,.727,0.0,.273,2.5,0.2,0.0,0.8,0.2,2.9
410,Josh Hall\halljo01,SF,OKC,.276,0.2,.471,1.7,1.0,0.0,0.0,1.0,2.9
411,Luke Kornet\kornelu01,PF,BOS,.421,0.7,.400,1.6,0.5,0.1,0.5,0.2,2.9
412,Jevon Carter\carteje01,PG,PHO,.379,0.6,1.000,1.1,1.1,0.4,0.2,0.2,2.8
413,Bruno Caboclo\cabocbr01,PF,HOU,.471,0.0,.500,2.3,0.2,0.0,0.3,0.7,2.8
414,Mamadi Diakite\diakima01,PF,MIL,.438,0.0,,2.8,0.8,0.0,0.8,0.0,2.8
415,CJ Elleby\ellebcj01,SF,POR,.412,0.4,.667,1.1,0.2,0.3,0.2,0.2,2.8
416,R.J. Hampton\hamptrj01,PG,ORL,.426,0.2,.769,2.0,0.6,0.2,0.1,0.5,2.8
417,Sam Merrill\merrisa01,SG,MIL,.465,0.7,1.000,1.0,0.8,0.3,0.1,0.4,2.8
418,Tremont Waters\watertr01,PG,BOS,.323,0.5,.875,0.7,2.6,0.5,0.0,1.1,2.8
419,Onyeka Okongwu\okongon01,C,ATL,.587,0.0,.588,2.3,0.2,0.3,0.5,0.4,2.7
420,KZ Okpala\okpalkz01,PF,MIA,.409,0.4,.333,2.0,0.4,0.2,0.3,0.5,2.7
421,Jabari Parker\parkeja01,PF,SAC,.571,0.0,,2.0,0.3,0.0,0.3,1.0,2.7
422,Chris Silva\silvach01,PF,SAC,.714,0.1,.733,2.1,0.5,0.1,0.4,0.8,2.7
423,Matt Thomas\thomama02,SG,UTA,.377,0.6,.857,0.9,0.4,0.1,0.0,0.3,2.7
424,Bol Bol\bolbo01,PF,DEN,.528,0.5,.571,0.8,0.3,0.1,0.3,0.5,2.6
425,Josh Green\greenjo02,SG,DAL,.462,0.1,.538,1.9,0.5,0.2,0.1,0.6,2.5
426,Anthony Lamb\lamban01,SF,HOU,.212,0.4,.750,3.4,0.3,0.1,0.1,0.4,2.5
427,Jontay Porter\portejo01,PF,MEM,.500,0.5,,3.5,0.5,1.0,0.0,1.0,2.5
428,Alfonzo McKinnie\mckinal01,SF,LAL,.511,0.3,.625,1.1,0.1,0.1,0.0,0.1,2.4
429,JaKarr Sampson\sampsja02,PF,IND,.455,0.1,.800,1.9,0.1,0.1,0.2,0.4,2.4
430,Yuta Watanabe\watanyu01,SF,TOR,.333,0.5,.900,3.0,0.5,0.4,0.5,0.3,2.4
431,Ed Davis\davised01,C,MIN,.419,0.0,.875,5.1,1.0,0.5,0.5,0.3,2.3
432,Malachi Flynn\flynnma01,PG,TOR,.275,0.3,.625,1.0,1.3,0.2,0.0,0.4,2.3
433,Norvel Pelle\pelleno01,C,SAC,.375,0.0,.750,2.0,0.3,0.0,0.8,0.8,2.3
434,Maurice Harkless\harklma01,SF,SAC,.455,0.6,.000,1.2,0.7,0.2,0.3,0.4,2.2
435,Elijah Hughes\hugheel01,SF,UTA,.389,0.5,.750,0.6,0.4,0.1,0.1,0.5,2.2
436,Keita Bates-Diop\bateske01,SF,SAS,.344,0.3,.700,1.3,0.4,0.4,0.1,0.1,2.1
437,Isaac Bonga\bongais01,SF,WAS,.390,0.4,.500,2.0,0.6,0.2,0.2,0.5,2.1
438,Nicolò Melli\mellini01,PF,DAL,.286,0.3,.857,2.6,1.1,0.4,0.0,0.3,2.1
439,Miye Oni\onimi01,SG,UTA,.375,0.6,.833,1.7,0.3,0.2,0.2,0.3,2.1
440,Devontae Cacok\cacokde01,PF,LAL,.643,0.0,.000,1.4,0.1,0.4,0.1,0.2,2.0
441,Wesley Iwundu\iwundwe01,SF,NOP,.321,0.1,.857,1.9,0.4,0.4,0.1,0.3,2.0
442,Ray Spalding\spaldra01,C,HOU,.500,0.0,.000,2.0,0.0,0.0,1.0,1.5,2.0
443,Killian Tillie\tilliki02,C,MEM,.200,0.4,.667,1.2,0.2,0.4,0.6,0.2,2.0
444,Nate Hinton\hintona01,SG,DAL,.368,0.1,.667,0.3,0.4,0.4,0.1,0.4,1.9
445,Justin James\jamesju01,SF,SAC,.425,0.2,.417,0.5,0.5,0.1,0.0,0.2,1.9
446,Cassius Winston\winstca01,PG,WAS,.400,0.5,1.000,0.7,1.0,0.0,0.1,0.1,1.9
447,Tyler Cook\cookty01,PF,DET,.500,0.0,.400,2.3,0.4,0.2,0.0,0.6,1.8
448,Robert Woodard\woodaro01,SF,SAC,.462,0.1,.375,1.0,0.0,0.0,0.1,0.1,1.8
449,Tre Jones\jonestr01,PG,SAS,.484,0.0,1.000,0.4,0.5,0.1,0.0,0.3,1.7
450,Daniel Oturu\oturuda01,C,LAC,.522,0.0,.500,1.3,0.4,0.1,0.2,0.3,1.6
451,Jarrell Brantley\brantja01,PF,UTA,.444,0.3,1.000,0.6,0.2,0.2,0.1,0.1,1.5
452,Vlatko Čančar\cancavl01,PF,DEN,.424,0.2,.833,1.2,0.3,0.3,0.1,0.4,1.5
453,Nate Darling\darlina01,SG,CHA,.250,0.5,,0.0,0.5,0.0,0.0,0.0,1.5
454,Bruno Fernando\fernabr01,C,ATL,.429,0.0,.625,2.8,0.4,0.1,0.1,0.7,1.5
455,Adam Mokoka\mokokad01,SG,CHI,.400,0.1,,0.4,0.4,0.2,0.1,0.2,1.4
456,Jahmi'us Ramsey\ramseja01,SG,SAC,.600,0.2,,0.8,0.2,0.0,0.2,0.2,1.4
457,Devon Dotson\dotsode01,PG,CHI,.500,0.0,,0.7,0.0,0.3,0.0,0.0,1.3
458,Cristiano Felício\feliccr01,C,CHI,.750,0.0,.600,1.4,0.6,0.2,0.0,0.3,1.3
459,Tim Frazier\fraziti01,PG,MEM,.250,0.0,,1.3,2.3,0.3,0.0,1.0,1.3
460,Jalen Lecque\lecquja01,PG,IND,.111,0.0,1.000,1.3,0.5,0.0,0.0,0.0,1.3
461,Kelan Martin\martike03,SF,IND,.333,0.1,1.000,0.9,0.1,0.2,0.1,0.3,1.3
462,Alen Smailagić\smailal01,PF,GSW,.286,0.3,.000,0.0,0.0,0.0,0.0,0.0,1.3
463,Jalen Smith\smithja04,PF,PHO,.381,0.1,.333,1.0,0.1,0.0,0.1,0.2,1.3
464,Marques Bolden\boldema01,C,CLE,.333,0.0,.625,1.0,0.0,0.3,0.3,0.3,1.2
465,Mfiondu Kabengele\kabenmf01,PF,LAC,.281,0.2,.833,0.6,0.2,0.1,0.1,0.3,1.2
466,Nick Richards\richani01,PF,CHA,.500,0.0,.636,0.7,0.0,0.0,0.0,0.1,1.2
467,Andre Roberson\roberan03,SG,BRK,.143,0.2,.500,3.0,0.8,0.6,0.2,0.4,1.2
468,Sindarius Thornwell\thornsi01,SG,NOP,.333,0.2,.000,0.4,0.3,0.4,0.1,0.3,1.2
469,Markus Howard\howarma02,SG,DEN,.220,0.2,.500,0.3,0.4,0.1,0.0,0.3,1.1
470,Cassius Stanley\stanlca01,SG,IND,.267,0.1,.800,0.7,0.0,0.0,0.2,0.1,1.1
471,Kostas Antetokounmpo\antetko01,PF,LAL,.500,0.0,.500,1.7,0.0,0.3,0.5,1.0,1.0
472,Udoka Azubuike\azubuud01,C,UTA,.571,0.0,.667,1.1,0.0,0.1,0.3,0.3,1.0
473,Brian Bowen\bowenbr02,SF,IND,.500,0.0,1.000,0.3,0.0,0.0,0.0,0.0,1.0
474,Shaquille Harrison\harrish01,SG,UTA,.300,0.0,.833,0.5,0.5,0.1,0.0,0.3,1.0
475,Rodions Kurucs\kurucro01,SF-PF,MIL,.250,0.2,.500,0.9,0.4,0.4,0.3,0.6,1.0
476,Karim Mané\maneka01,PG,ORL,.167,0.1,1.000,1.6,0.4,0.0,0.2,0.3,1.0
477,Patrick McCaw\mccawpa01,SF,TOR,1.000,0.0,1.000,0.6,0.8,0.4,0.0,0.0,1.0
478,Cameron Reynolds\reynoca01,G,SAS,1.000,0.0,,0.0,0.0,0.0,0.0,0.0,1.0
479,Iman Shumpert\shumpim01,SG,BRK,.250,0.0,,0.5,0.0,0.5,0.0,0.5,1.0
480,Tyrell Terry\terryty01,PG,DAL,.313,0.0,.333,0.5,0.5,0.5,0.0,0.2,1.0
481,Axel Toupane\toupaax01,G-F,MIL,.286,0.0,,1.0,0.5,0.0,0.8,0.0,1.0
482,Tyler Bey\beyty01,SF,DAL,.273,0.0,.500,1.3,0.1,0.0,0.1,0.0,0.9
483,Anthony Gill\gillan01,PF,WAS,.333,0.1,.750,1.5,0.3,0.2,0.2,0.2,0.9
484,Juwan Morgan\morgaju01,PF,UTA,.412,0.2,.200,0.8,0.2,0.2,0.0,0.1,0.9
485,Jalen Harris\harrija01,SG,TOR,.250,0.3,,0.8,0.5,0.3,0.0,0.3,0.8
486,Vincent Poirier\poirivi01,C,PHI,.250,0.0,.333,1.4,0.2,0.0,0.3,0.4,0.8
487,Vernon Carey Jr.\careyve01,C,CHA,.500,0.0,.500,1.3,0.1,0.0,0.1,0.1,0.7
488,Trent Forrest\forretr01,PG,UTA,.333,0.0,1.000,0.5,0.8,0.2,0.0,0.4,0.7
489,Jared Harper\harpeja01,PG,NYK,.000,0.0,1.000,0.0,0.0,0.0,0.0,0.7,0.7
490,Ignas Brazdeikis\brazdig01,SF,NYK,.000,0.0,1.000,0.5,0.3,0.0,0.0,0.3,0.5
491,Jared Dudley\dudleja01,PF,LAL,.286,0.2,,1.7,0.5,0.1,0.1,0.2,0.5
492,Ersan İlyasova\ilyaser01,F,UTA,.200,0.0,,0.5,0.3,0.0,0.0,0.3,0.5
493,Deividas Sirvydis\sirvyde01,SG,DET,.200,0.1,.500,0.3,0.1,0.1,0.0,0.1,0.5
494,Quinndary Weatherspoon\weathqu01,SG,SAS,.200,0.0,1.000,0.3,0.4,0.4,0.1,0.7,0.5
495,Keljin Blevins\blevike01,SF,POR,.182,0.0,,0.2,0.4,0.2,0.0,0.3,0.4
496,Naji Marshall\marshna01,SF,NOP,.167,0.0,.500,0.3,0.3,0.0,0.1,0.1,0.4
497,Jaylen Adams\adamsja01,PG,MIL,.125,0.0,,0.4,0.3,0.0,0.0,0.0,0.3
498,Terrance Ferguson\fergute01,SG,PHI,.143,0.0,,0.1,0.2,0.1,0.0,0.3,0.2
499,Wenyen Gabriel\gabriwe01,PF,NOP,.000,0.0,.500,1.2,0.3,0.0,0.0,0.5,0.2
500,Theo Pinson\pinsoth01,SG,NYK,.125,0.0,,0.2,0.1,0.0,0.0,0.1,0.2
501,Ty-Shon Alexander\alexaty01,SG,PHO,.000,0.0,,0.3,0.3,0.0,0.0,0.0,0.0
502,Ashton Hagans\haganas01,PG,MIN,,0.0,,0.0,0.0,0.0,0.0,0.5,0.0
503,Will Magnay\magnawi01,C,NOP,.000,0.0,,0.0,0.0,0.0,0.0,1.0,0.0
504,Anžejs Pasečņiks\pasecan01,C,WAS,.000,0.0,,1.0,1.0,0.0,0.0,5.0,0.0
505,Noah Vonleh\vonleno01,PF,BRK,.000,0.0,,0.3,0.3,0.0,0.0,0.5,0.0
506,Greg Whittington\whittgr01,PF,DEN,.000,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
